fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division,Striking accuracy_pct,Striking defense_pct,Striking volume_pct,Takedown accuracy_pct,Takedown defense_pct,Takedown volume_pct,Submission threat_pct,Knockout power_pct
JAMAHAL HILL,12-4-0,7.0,,4.0,52%,770.0,1486.0,,,,6.19,4.03,0.0,0.0,45%,73%,0.48,10:22,629.0,82%,84.0,11%,57.0,7%,510.0,66%,187.0,24%,73.0,9%,7.0,58%,5.0,42%,0.0,0%,https://www.ufc.com/athlete/jamahal-hill,Light Heavyweight,53.96825396825397,30.952380952380953,92.06349206349206,,53.70370370370371,19.841269841269842,30.158730158730158,60.317460317460316
JAMELLE JONES,7-5-0,,,,80%,4.0,5.0,0%,,1.0,1.78,3.11,0.0,0.0,65%,,0.0,02:15,4.0,100%,0.0,0%,0.0,0%,0.0,0%,100.0,0%,100.0,100%,5.0,71%,1.0,14%,1.0,14%,https://www.ufc.com/athlete/jamelle-jones,Light Heavyweight,95.23809523809523,93.65079365079364,7.936507936507936,8.695652173913043,,19.841269841269842,30.158730158730158,21.428571428571427
JAN BŁACHOWICZ,29-11-1,9.0,9.0,7.0,50%,953.0,1914.0,49%,12.0,39.0,3.44,3.03,1.03,0.33,53%,69%,0.33,13:11,738.0,77%,105.0,11%,110.0,12%,582.0,61%,202.0,21%,169.0,18%,9.0,31%,11.0,38%,9.0,31%,https://www.ufc.com/athlete/jan-blachowicz,Light Heavyweight,45.23809523809524,61.111111111111114,35.714285714285715,75.0,50.0,71.42857142857143,80.95238095238095,55.55555555555556
JESSE MARIOTTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ufc.com/athlete/jesse-mariotti,Light Heavyweight,,,,,,,,
JIMMY CRUTE,14-4-2,5.0,6.0,10.0,53%,340.0,642.0,52%,1.0,46.0,4.15,3.65,4.39,2.01,42%,58%,0.73,06:18,235.0,69%,42.0,12%,63.0,19%,240.0,71%,51.0,15%,49.0,14%,5.0,36%,3.0,21%,6.0,43%,https://www.ufc.com/athlete/jim-crute,Light Heavyweight,59.523809523809526,20.634920634920633,57.14285714285714,86.95652173913044,31.48148148148148,96.82539682539682,95.23809523809523,77.77777777777779
JIŘÍ PROCHÁZKA,32-5-1,28.0,3.0,23.0,55%,504.0,913.0,60%,1.0,5.0,5.69,5.6,0.51,0.17,46%,68%,0.85,11:04,388.0,77%,39.0,8%,77.0,15%,391.0,78%,80.0,16%,88.0,7%,28.0,88%,1.0,3%,3.0,9%,https://www.ufc.com/athlete/jiri-prochazka,Light Heavyweight,69.84126984126983,35.714285714285715,85.71428571428571,91.30434782608695,46.2962962962963,57.14285714285714,69.84126984126983,82.53968253968253
JOHNNY WALKER,22-9-0,17.0,3.0,17.0,55%,440.0,797.0,60%,,5.0,4.06,3.09,0.42,0.83,45%,57%,0.69,06:47,290.0,66%,39.0,9%,111.0,25%,243.0,55%,153.0,10%,153.0,35%,17.0,77%,2.0,9%,3.0,14%,https://www.ufc.com/athlete/johnny-walker,Light Heavyweight,69.84126984126983,30.952380952380953,55.55555555555556,91.30434782608695,29.629629629629626,49.2063492063492,88.88888888888889,76.19047619047619
JOSE AUGUSTO,0-0-0,,,,,,,,,,,,,,,,,00:00,0.0,0,0.0,0,0.0,0,0.0,0%,0.0,0%,0.0,0%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/jose-augusto,Light Heavyweight,,,,,,,,
JULIUS ANGLICKAS,0-0-0,,,,78%,62.0,79.0,50%,,8.0,4.62,1.86,4.47,1.12,51%,60%,0.0,13:25,15.0,24%,38.0,61%,9.0,15%,40.0,40%,34.0,34%,26.0,26%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/julius-anglickas,Light Heavyweight,93.65079365079364,53.17460317460318,66.66666666666666,81.52173913043478,37.03703703703704,98.4126984126984,90.47619047619048,21.428571428571427
JULIUS WALKER,7-1-0,4.0,2.0,5.0,56%,130.0,233.0,37%,1.0,19.0,4.33,3.53,3.5,0.0,44%,100%,0.5,15:00,69.0,53%,39.0,30%,22.0,17%,63.0,48%,42.0,32%,67.0,19%,4.0,67%,0.0,0%,2.0,33%,https://www.ufc.com/athlete/julius-walker,Light Heavyweight,74.60317460317461,26.190476190476193,65.07936507936508,59.78260869565217,90.74074074074075,90.47619047619048,30.158730158730158,61.904761904761905
