fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division,Striking accuracy_pct,Striking defense_pct,Striking volume_pct,Takedown accuracy_pct,Takedown defense_pct,Takedown volume_pct,Submission threat_pct,Knockout power_pct
STEVEN ASPLUND,1-0-0,,,,65%,11.0,17.0,,,,41.25,7.5,0.0,0.0,71%,,56.25,00:16,7.0,64%,0.0,0%,4.0,36%,91.0,91%,9.0,0%,9.0,9%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/steven-asplund,Heavyweight,91.22807017543859,100.0,100.0,,,19.82758620689655,32.758620689655174,100.0
TAI TUIVASA,15-8-0,14.0,,12.0,47%,436.0,930.0,0%,,3.0,3.77,5.18,0.0,0.0,44%,58%,1.04,07:14,318.0,73%,104.0,24%,14.0,3%,257.0,59%,103.0,17%,103.0,24%,14.0,93%,1.0,7%,0.0,0%,https://www.ufc.com/athlete/tai-tuivasa,Heavyweight,33.33333333333333,35.08771929824561,53.44827586206896,12.76595744680851,36.84210526315789,19.82758620689655,32.758620689655174,87.93103448275862
TALLISON TEIXEIRA,8-1-0,7.0,1.0,8.0,60%,40.0,67.0,0%,,1.0,12.83,8.98,0.0,0.0,56%,,9.63,01:02,31.0,78%,4.0,10%,5.0,13%,70.0,70%,18.0,13%,88.0,18%,7.0,88%,0.0,0%,1.0,13%,https://www.ufc.com/athlete/tallison-teixeira,Heavyweight,83.33333333333334,78.94736842105263,96.55172413793103,12.76595744680851,,19.82758620689655,32.758620689655174,98.27586206896551
TESTY TEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ufc.com/athlete/testy-test,Heavyweight,,,,,,,,
THOMAS PETERSEN,10-3-0,7.0,1.0,6.0,60%,203.0,339.0,67%,1.0,24.0,3.74,2.94,4.42,0.55,58%,100%,0.0,10:52,149.0,73%,11.0,5%,43.0,21%,137.0,67%,51.0,25%,70.0,7%,7.0,70%,2.0,20%,1.0,10%,https://www.ufc.com/athlete/thomas-petersen,Heavyweight,83.33333333333334,85.08771929824562,51.724137931034484,87.2340425531915,92.10526315789474,91.37931034482759,86.20689655172413,25.862068965517242
TIMOTHY THOMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ufc.com/athlete/timothy-thomas,Heavyweight,,,,,,,,
TOM ASPINALL,15-3-0,12.0,3.0,14.0,67%,148.0,220.0,100%,2.0,4.0,8.07,2.89,3.27,1.63,65%,100%,4.09,02:02,81.0,55%,17.0,11%,50.0,34%,105.0,71%,25.0,12%,80.0,17%,12.0,80%,0.0,0%,3.0,20%,https://www.ufc.com/athlete/tom-aspinall,Heavyweight,96.49122807017544,96.49122807017544,94.82758620689656,98.93617021276596,92.10526315789474,86.20689655172413,94.82758620689656,94.82758620689656
TRAVIS BROWNE,18-7-1,,,,41%,400.0,964.0,69%,11.0,16.0,2.93,4.31,1.21,0.22,43%,75%,0.66,08:02,248.0,62%,56.0,14%,96.0,24%,238.0,60%,99.0,25%,63.0,16%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/travis-browne,Heavyweight,17.543859649122805,31.57894736842105,37.93103448275862,93.61702127659575,65.78947368421053,62.06896551724138,71.55172413793103,82.75862068965517
VALTER WALKER,14-1-0,6.0,4.0,7.0,49%,42.0,85.0,67%,4.0,12.0,1.9,2.89,5.43,2.03,43%,,0.0,05:32,28.0,67%,5.0,12%,9.0,21%,57.0,57%,29.0,14%,43.0,29%,6.0,43%,4.0,29%,4.0,29%,https://www.ufc.com/athlete/valter-walker,Heavyweight,46.49122807017544,31.57894736842105,18.96551724137931,87.2340425531915,,94.82758620689656,98.27586206896551,25.862068965517242
VITOR PETRINO,12-2-0,7.0,,5.0,45%,213.0,472.0,59%,7.0,29.0,2.72,2.6,3.25,0.96,47%,71%,0.38,09:48,166.0,78%,3.0,1%,44.0,21%,153.0,72%,38.0,18%,58.0,10%,7.0,58%,3.0,25%,2.0,17%,https://www.ufc.com/athlete/vitor-petrino,Heavyweight,27.192982456140353,44.73684210526316,34.48275862068966,76.59574468085107,56.57894736842105,84.48275862068965,91.37931034482759,69.82758620689656
WALDO CORTES ACOSTA,14-2-0,6.0,1.0,3.0,48%,682.0,1420.0,50%,,6.0,5.61,3.51,0.37,0.12,55%,71%,0.37,12:09,599.0,88%,30.0,4%,53.0,8%,497.0,73%,100.0,15%,85.0,12%,6.0,43%,7.0,50%,1.0,7%,https://www.ufc.com/athlete/waldo-cortes-acosta,Heavyweight,39.473684210526315,71.9298245614035,84.48275862068965,73.40425531914893,56.57894736842105,39.6551724137931,66.37931034482759,67.24137931034483
