fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division,Striking accuracy_pct,Striking defense_pct,Striking volume_pct,Takedown accuracy_pct,Takedown defense_pct,Takedown volume_pct,Submission threat_pct,Knockout power_pct
MANON FIOROT,12-2-0,8.0,,8.0,54%,659.0,1227.0,39%,1.0,31.0,4.73,3.28,1.29,0.54,50%,61%,0.11,12:41,565,86%,51,8%,43,7%,250,38%,206,31%,203,31%,8,50%,5,31%,3,19%,https://www.ufc.com/athlete/manon-fiorot,Women's Flyweight,90.9090909090909,27.27272727272727,75.0,55.952380952380956,42.5,59.09090909090909,65.9090909090909,67.04545454545455
MARILIA SANTOS,0-0-0,,,,54%,66.0,122.0,100%,,1.0,4.4,4.07,1.0,1.0,53%,67%,0.0,15:00,48,73%,12,18%,6,9%,65,65%,29,29%,6,6%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/marilia-santos,Women's Flyweight,90.9090909090909,43.18181818181818,68.18181818181817,98.80952380952381,51.24999999999999,45.45454545454545,89.77272727272727,27.27272727272727
MAYCEE BARBER,14-2-0,6.0,2.0,,53%,687.0,1293.0,44%,1.0,32.0,4.7,2.9,1.44,0.1,55%,54%,0.0,12:10,314,46%,254,37%,119,17%,463,67%,129,19%,95,14%,6,43%,6,43%,2,14%,https://www.ufc.com/athlete/maycee-barber,Women's Flyweight,84.0909090909091,54.54545454545454,72.72727272727273,69.04761904761905,27.500000000000004,61.36363636363637,29.545454545454547,27.27272727272727
MIRANDA MAVERICK,17-6-0,1.0,8.0,6.0,45%,514.0,1155.0,40%,8.0,57.0,3.22,2.25,2.16,0.38,62%,45%,0.0,13:17,416,81%,31,6%,67,13%,282,55%,121,24%,111,22%,1,6%,8,47%,8,47%,https://www.ufc.com/athlete/miranda-maverick,Women's Flyweight,44.31818181818182,84.0909090909091,31.818181818181817,59.523809523809526,17.5,77.27272727272727,56.81818181818182,27.27272727272727
NATALIA SILVA,19-5-1,5.0,7.0,,46%,451.0,976.0,25%,2.0,8.0,5.04,2.46,0.34,0.0,65%,92%,0.34,12:46,424,94%,12,3%,15,3%,264,59%,99,22%,88,20%,5,26%,7,37%,7,37%,https://www.ufc.com/athlete/natalia-silva,Women's Flyweight,51.13636363636363,97.72727272727273,77.27272727272727,25.0,95.0,15.909090909090908,13.636363636363635,86.36363636363636
NAYARA MAIA,0-1-0,,,,36%,9.0,25.0,33%,,3.0,0.6,3.33,1.0,1.0,44%,,0.0,15:00,8,89%,1,11%,0,0%,44,44%,33,22%,33,33%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/nayara-maia,Women's Flyweight,6.8181818181818175,9.090909090909092,2.272727272727273,45.23809523809524,,45.45454545454545,89.77272727272727,27.27272727272727
NICOLLE CALIARI,8-4-0,5.0,3.0,4.0,38%,108.0,284.0,24%,3.0,25.0,3.46,7.01,2.88,0.96,54%,,0.0,10:25,99,92%,7,6%,2,2%,68,63%,27,25%,63,12%,5,63%,0,0%,3,38%,https://www.ufc.com/athlete/nicolle-caliari,Women's Flyweight,15.909090909090908,47.72727272727273,38.63636363636363,19.047619047619047,,95.45454545454545,86.36363636363636,27.27272727272727
ROSE NAMAJUNAS,15-7-0,2.0,6.0,5.0,42%,1014.0,2436.0,51%,16.0,55.0,3.6,3.38,1.49,0.37,64%,63%,0.32,15:39,845,83%,71,7%,98,10%,733,72%,192,19%,89,9%,2,13%,7,47%,6,40%,https://www.ufc.com/athlete/rose-namajunas,Women's Flyweight,35.22727272727273,95.45454545454545,46.590909090909086,80.95238095238095,47.5,65.9090909090909,54.54545454545454,84.0909090909091
SOFIA MONTENEGRO,0-1-0,,,,40%,64.0,160.0,25%,,4.0,4.27,5.67,1.0,0.0,49%,100%,1.0,15:00,45,70%,4,6%,15,23%,70,70%,20,20%,9,9%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/sofia-montenegro,Women's Flyweight,28.40909090909091,22.727272727272727,61.36363636363637,25.0,98.75,45.45454545454545,13.636363636363635,97.72727272727273
TAILA SANTOS,19-3-0,10.0,3.0,12.0,48%,406.0,845.0,76%,1.0,21.0,3.39,2.64,2.0,1.13,58%,86%,0.38,14:59,301,74%,48,12%,57,14%,223,55%,115,17%,115,28%,10,53%,6,32%,3,16%,https://www.ufc.com/athlete/taila-santos,Women's Flyweight,62.5,69.31818181818183,36.36363636363637,95.23809523809523,92.5,75.0,93.18181818181817,90.9090909090909
TEREZA BLEDA,7-1-0,2.0,2.0,3.0,53%,125.0,235.0,28%,1.0,18.0,3.02,1.86,1.81,0.72,47%,83%,0.36,13:49,49,39%,12,10%,64,51%,86,69%,25,20%,29,11%,2,29%,3,43%,2,29%,https://www.ufc.com/athlete/tereza-bleda,Women's Flyweight,84.0909090909091,14.772727272727273,18.181818181818183,34.523809523809526,88.75,70.45454545454545,78.4090909090909,88.63636363636364
TRACY CORTEZ,12-2-0,1.0,1.0,,49%,493.0,999.0,48%,,40.0,3.79,2.84,2.19,0.35,57%,62%,0.0,16:15,288,58%,51,10%,154,31%,303,61%,119,24%,71,14%,1,8%,10,83%,1,8%,https://www.ufc.com/athlete/tracy-cortez,Women's Flyweight,67.04545454545455,63.63636363636363,52.27272727272727,77.38095238095238,45.0,79.54545454545455,51.13636363636363,27.27272727272727
KARINE SILVA,19-5-0,9.0,8.0,13.0,38%,173.0,451.0,48%,1.0,21.0,2.73,2.89,2.37,1.89,52%,11%,0.24,09:03,129,75%,31,18%,13,8%,76,44%,51,27%,51,29%,9,47%,2,11%,8,42%,https://www.ufc.com/athlete/trevin-dzhayls-0,Women's Flyweight,15.909090909090908,39.77272727272727,14.772727272727273,77.38095238095238,3.75,88.63636363636364,97.72727272727273,78.4090909090909
VALENTINA SHEVCHENKO,25-4-1,8.0,7.0,6.0,52%,1059.0,2022.0,60%,12.0,98.0,3.14,2.06,2.62,0.31,63%,76%,0.09,18:44,763,72%,96,9%,200,19%,701,66%,222,13%,222,21%,8,32%,10,40%,7,28%,https://www.ufc.com/athlete/valentina-shevchenko,Women's Flyweight,78.4090909090909,90.9090909090909,27.27272727272727,85.71428571428571,75.0,93.18181818181817,44.31818181818182,61.36363636363637
VANESSA DEMOPOULOS,11-8-0,1.0,4.0,4.0,40%,475.0,1189.0,10%,,31.0,3.37,5.39,0.32,0.43,41%,26%,0.11,12:48,361,76%,63,13%,51,11%,303,64%,116,24%,56,12%,1,9%,6,55%,4,36%,https://www.ufc.com/athlete/vanessa-demopulos,Women's Flyweight,28.40909090909091,4.545454545454546,34.090909090909086,7.142857142857142,7.5,13.636363636363635,59.09090909090909,67.04545454545455
VERONICA HARDY,10-5-1,1.0,2.0,2.0,46%,390.0,848.0,41%,1.0,17.0,3.06,3.24,0.82,0.35,50%,52%,0.12,12:44,293,75%,48,12%,49,13%,255,65%,71,18%,64,16%,1,10%,7,70%,2,20%,https://www.ufc.com/athlete/veronica-macedo,Women's Flyweight,51.13636363636363,27.27272727272727,22.727272727272727,61.904761904761905,25.0,40.909090909090914,51.13636363636363,70.45454545454545
MANDY BÖHM,8-2-0,2.0,2.0,3.0,45%,105.0,232.0,18%,,11.0,2.51,3.24,0.72,0.72,60%,75%,0.0,13:58,76,72%,27,26%,2,2%,53,50%,29,28%,29,22%,2,29%,3,43%,2,29%,https://www.ufc.com/athlete/viktoriya-leonardo-0,Women's Flyweight,44.31818181818182,76.13636363636364,9.090909090909092,15.476190476190476,70.0,36.36363636363637,78.4090909090909,27.27272727272727
WANG CONG,8-1-0,2.0,2.0,2.0,57%,321.0,563.0,75%,,4.0,7.48,2.68,1.05,0.7,63%,100%,0.7,08:35,285,89%,13,4%,23,7%,148,46%,99,23%,99,31%,2,25%,4,50%,2,25%,https://www.ufc.com/athlete/wang-cong,Women's Flyweight,97.72727272727273,90.9090909090909,93.18181818181817,91.66666666666666,98.75,52.27272727272727,75.0,94.31818181818183
ZHANG WEILI,26-3-0,11.0,8.0,11.0,54%,897.0,1665.0,46%,1.0,57.0,5.15,2.77,2.24,0.52,54%,74%,0.26,14:31,527,59%,75,8%,295,33%,539,60%,212,16%,212,24%,11,42%,7,27%,8,31%,https://www.ufc.com/athlete/weili-zhang,Women's Flyweight,90.9090909090909,47.72727272727273,79.54545454545455,73.80952380952381,65.0,86.36363636363636,63.63636363636363,81.81818181818183
YUNEISY DUBEN,6-1-0,5.0,1.0,4.0,49%,39.0,80.0,,,,13.53,10.75,0.0,0.0,54%,,5.2,01:27,35,90%,4,10%,0,0%,77,77%,21,3%,83,21%,5,83%,0,0%,1,17%,https://www.ufc.com/athlete/yuneisy-duben,Women's Flyweight,67.04545454545455,47.72727272727273,100.0,,,5.681818181818182,13.636363636363635,100.0
