fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division,Striking accuracy_pct,Striking defense_pct,Striking volume_pct,Takedown accuracy_pct,Takedown defense_pct,Takedown volume_pct,Submission threat_pct,Knockout power_pct
XIAO LONG,27-10-0,5.0,9.0,5.0,46%,454.0,979.0,25%,2.0,16.0,5.25,4.2,0.69,0.0,50%,80%,0.17,14:25,309,68%,125,28%,20,4%,278,61%,113,25%,63,14%,5,19%,13,48%,9,33%,https://www.ufc.com/athlete/shiyao-ron,Bantamweight,53.21100917431193,32.72727272727273,80.9090909090909,26.96078431372549,70.3125,34.54545454545455,18.181818181818183,50.90909090909091
SHUYA KAMIKUBO,1-1-0,,,,55%,115.0,210.0,16%,,19.0,3.83,4.9,1.5,0.5,47%,,0.0,15:00,74,64%,32,28%,9,8%,71,62%,40,35%,4,3%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/shuya-kamikubo,Bantamweight,86.69724770642202,18.636363636363637,51.81818181818182,19.607843137254903,,58.63636363636363,66.81818181818183,22.727272727272727
STEVE ERCEG,13-4-0,2.0,6.0,5.0,46%,418.0,910.0,28%,3.0,29.0,4.0,3.79,1.15,0.43,52%,63%,0.14,14:56,362,87%,47,11%,9,2%,288,69%,87,21%,43,10%,2,15%,5,38%,6,46%,https://www.ufc.com/athlete/steve-erceg,Bantamweight,53.21100917431193,42.27272727272727,53.63636363636364,34.80392156862745,38.54166666666667,50.0,61.36363636363637,49.09090909090909
STEVEN KOSLOW,6-1-0,,6.0,6.0,38%,11.0,29.0,56%,5.0,9.0,0.77,3.73,5.28,1.06,40%,,0.0,14:13,8,73%,1,9%,2,18%,73,73%,18,9%,18,18%,0,0%,0,0%,6,100%,https://www.ufc.com/athlete/steven-koslow,Bantamweight,13.761467889908257,11.818181818181818,4.545454545454546,87.25490196078431,,96.36363636363636,85.9090909090909,22.727272727272727
SUYOUNG YOU,16-3-0,3.0,5.0,6.0,47%,171.0,365.0,48%,2.0,40.0,2.28,1.96,3.8,0.4,70%,67%,0.0,15:00,150,88%,16,9%,5,3%,122,71%,25,15%,24,14%,3,19%,8,50%,5,31%,https://www.ufc.com/athlete/suyoung-yu,Bantamweight,59.63302752293578,97.27272727272728,21.818181818181817,78.43137254901961,45.83333333333333,91.81818181818183,59.09090909090909,22.727272727272727
TERRENCE MITCHELL,15-4-0,8.0,6.0,12.0,35%,9.0,26.0,50%,1.0,2.0,2.21,8.85,3.69,0.0,42%,,0.0,02:02,6,67%,2,22%,1,11%,89,89%,11,11%,53,0%,8,53%,1,7%,6,40%,https://www.ufc.com/athlete/terrence-mitchell,Bantamweight,8.256880733944955,14.545454545454545,20.0,82.84313725490196,,90.9090909090909,18.181818181818183,22.727272727272727
TOSHIOMI KAZAMA,11-5-0,3.0,6.0,6.0,53%,46.0,86.0,16%,,25.0,1.49,4.56,1.94,0.97,38%,67%,0.0,06:11,29,63%,11,24%,6,13%,63,63%,22,22%,27,15%,3,27%,2,18%,6,55%,https://www.ufc.com/athlete/toshiomi-kazama,Bantamweight,78.89908256880734,9.090909090909092,9.090909090909092,19.607843137254903,45.83333333333333,69.0909090909091,82.72727272727273,22.727272727272727
ORON KAHLON,0-1-0,,,,38%,12.0,32.0,,,,0.85,4.93,0.0,0.0,36%,40%,0.0,14:12,11,92%,1,8%,0,0%,50,17%,50,50%,33,33%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/trevin-dzhayls-1,Bantamweight,13.761467889908257,7.727272727272727,7.2727272727272725,,12.5,10.0,18.181818181818183,22.727272727272727
JAVID BASHARAT,14-2-0,5.0,6.0,8.0,54%,451.0,837.0,41%,,22.0,5.41,2.96,1.62,0.18,62%,84%,0.0,11:55,339,75%,31,7%,81,18%,265,59%,127,28%,59,13%,5,36%,3,21%,6,43%,https://www.ufc.com/athlete/trevin-dzhayls-4,Bantamweight,83.4862385321101,86.36363636363636,89.0909090909091,67.15686274509804,81.77083333333334,62.727272727272734,43.18181818181818,22.727272727272727
CRISTIAN QUIÑONEZ,18-5-0,10.0,3.0,5.0,40%,137.0,339.0,38%,,8.0,4.19,4.55,1.37,0.0,55%,84%,0.46,08:11,124,91%,9,7%,4,3%,104,76%,27,4%,56,20%,10,56%,5,28%,3,17%,https://www.ufc.com/athlete/trevin-dzhayls-6,Bantamweight,23.853211009174313,52.27272727272727,58.18181818181818,59.80392156862745,81.77083333333334,55.45454545454545,18.181818181818183,73.63636363636363
UMAR NURMAGOMEDOV,18-1-0,2.0,7.0,5.0,57%,423.0,740.0,40%,6.0,53.0,4.38,2.15,3.26,0.31,61%,79%,0.16,13:48,278,66%,25,6%,120,28%,291,69%,82,19%,50,12%,2,11%,9,50%,7,39%,https://www.ufc.com/athlete/umar-nurmagomedov,Bantamweight,90.82568807339449,82.27272727272728,63.63636363636363,64.70588235294117,68.75,85.45454545454545,52.27272727272727,50.0
VICTOR HENRY,25-7-0,7.0,8.0,5.0,53%,621.0,1168.0,43%,,14.0,7.17,5.19,1.04,0.35,48%,81%,0.52,12:22,507,82%,82,13%,32,5%,356,57%,200,32%,65,10%,7,28%,10,40%,8,32%,https://www.ufc.com/athlete/victor-henry,Bantamweight,78.89908256880734,22.272727272727273,96.36363636363636,71.07843137254902,72.39583333333334,44.09090909090909,54.54545454545454,79.0909090909091
VICTOR MADRIGAL,0-1-0,,,,39%,7.0,18.0,0%,,1.0,2.31,9.56,0.0,0.0,51%,,0.0,03:02,7,100%,0,0%,0,0%,71,71%,14,14%,14,14%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/victor-madrigal,Bantamweight,18.34862385321101,38.63636363636363,22.727272727272727,6.862745098039216,,10.0,18.181818181818183,22.727272727272727
VINCE MORALES,16-10-0,7.0,5.0,5.0,38%,548.0,1449.0,40%,,15.0,3.57,4.0,0.59,0.49,54%,59%,0.29,12:47,480,88%,40,7%,28,5%,359,66%,136,25%,53,10%,7,44%,4,25%,5,31%,https://www.ufc.com/athlete/vince-morales,Bantamweight,13.761467889908257,48.63636363636364,49.09090909090909,64.70588235294117,32.29166666666667,30.909090909090907,65.45454545454545,59.09090909090909
VINICIUS OLIVEIRA,23-3-0,16.0,2.0,14.0,43%,331.0,766.0,50%,2.0,14.0,5.28,2.89,1.67,0.24,58%,80%,0.72,12:33,282,85%,11,3%,38,11%,180,54%,78,22%,78,24%,16,70%,5,22%,2,9%,https://www.ufc.com/athlete/vinicius-oliveira,Bantamweight,35.321100917431195,68.63636363636364,81.81818181818183,82.84313725490196,70.3125,64.0909090909091,45.0,87.27272727272727
WILLIAN SOUZA,0-0-0,,,,,,,,,,,,,,,,,00:00,0,0,0,0,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/willian-souza,Bantamweight,,,,,,,,
SONG YADONG,22-8-1,9.0,3.0,7.0,44%,898.0,2048.0,38%,1.0,21.0,4.58,4.0,0.61,0.15,56%,74%,0.54,13:05,765,85%,56,6%,77,9%,566,63%,176,20%,156,17%,9,41%,10,45%,3,14%,https://www.ufc.com/athlete/yadong-song,Bantamweight,39.908256880733944,57.72727272727273,70.9090909090909,59.80392156862745,60.416666666666664,31.818181818181817,40.45454545454545,80.0
