fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division,Striking accuracy_pct,Striking defense_pct,Striking volume_pct,Takedown accuracy_pct,Takedown defense_pct,Takedown volume_pct,Submission threat_pct,Knockout power_pct
DENISE GOMES,11-3-0,7.0,,2.0,51%,406.0,798.0,37%,,19.0,4.59,3.04,1.19,0.85,51%,67%,0.51,11:04,264,65%,95,23%,47,12%,207,51%,105,26%,94,23%,7,64%,4,36%,0,0%,https://www.ufc.com/athlete/denise-gomes,Women's Strawweight,76.31578947368422,34.21052631578947,75.43859649122807,43.0,47.91666666666667,50.877192982456144,85.96491228070175,91.22807017543859
FABIOLA PIDRONI,0-0-0,,,,,,,,,,,,,,,,,00:00,0,0,0,0,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/fabiola-pidroni,Women's Strawweight,,,,,,,,
FATIMA KLINE,8-1-0,4.0,1.0,1.0,50%,146.0,294.0,60%,1.0,5.0,3.94,2.29,1.21,0.0,60%,50%,0.4,12:21,110,75%,17,12%,19,13%,102,70%,32,22%,50,8%,4,50%,3,38%,1,13%,https://www.ufc.com/athlete/fatima-kline,Women's Strawweight,72.80701754385966,77.19298245614034,56.14035087719298,77.0,20.833333333333336,52.63157894736842,22.807017543859647,89.47368421052632
GILLIAN ROBERTSON,16-8-0,3.0,9.0,3.0,49%,548.0,1129.0,41%,3.0,86.0,2.86,2.86,2.74,0.94,57%,41%,0.0,10:05,271,49%,19,3%,258,47%,372,68%,88,16%,88,16%,3,19%,4,25%,9,56%,https://www.ufc.com/athlete/gillian-robertson,Women's Strawweight,68.42105263157895,59.64912280701754,31.57894736842105,51.0,16.666666666666664,87.71929824561403,89.47368421052632,30.701754385964914
IASMIN LUCINDO,18-6-0,8.0,3.0,3.0,45%,318.0,699.0,56%,,27.0,3.22,2.8,2.28,0.15,62%,69%,0.0,14:06,266,84%,31,10%,21,7%,210,66%,84,26%,44,8%,8,44%,7,39%,3,17%,https://www.ufc.com/athlete/iasmin-lucindo,Women's Strawweight,55.26315789473685,87.71929824561403,42.10526315789473,70.0,53.125,78.94736842105263,51.75438596491229,30.701754385964914
ISIS VERBEEK,0-1-0,,,,44%,47.0,108.0,,,,3.13,3.53,0.0,0.0,54%,67%,0.0,15:00,27,57%,20,43%,0,0%,53,28%,53,53%,19,19%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/isis-verbeek,Women's Strawweight,51.75438596491229,50.0,40.35087719298245,,47.91666666666667,11.403508771929824,22.807017543859647,30.701754385964914
JANAINA SILVA,0-1-0,,,,0%,0.0,3.0,,,,0.0,1.5,0.0,0.0,63%,,0.0,04:00,0,0,0,0,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/janaina-silva,Women's Strawweight,1.7543859649122806,92.98245614035088,1.7543859649122806,,,11.403508771929824,22.807017543859647,30.701754385964914
JAQUELINE AMORIM,10-1-0,2.0,8.0,8.0,53%,109.0,204.0,38%,2.0,16.0,2.68,1.43,2.22,4.8,64%,,0.0,08:07,21,19%,0,0%,88,81%,95,87%,12,11%,20,2%,2,20%,0,0%,8,80%,https://www.ufc.com/athlete/jaqueline-amorim,Women's Strawweight,79.82456140350878,97.36842105263158,24.561403508771928,47.0,,77.19298245614034,100.0,30.701754385964914
JÉSSICA ANDRADE,26-15-0,10.0,8.0,11.0,49%,1824.0,3747.0,54%,33.0,74.0,6.37,5.58,2.1,0.31,54%,75%,0.37,09:33,1318,72%,308,17%,198,11%,1147,63%,406,22%,271,15%,10,38%,8,31%,8,31%,https://www.ufc.com/athlete/jessica-andrade,Women's Strawweight,68.42105263157895,50.0,92.98245614035088,64.0,65.625,75.43859649122807,64.91228070175438,87.71929824561403
KANAKO MURATA,12-3-0,2.0,4.0,3.0,57%,86.0,151.0,56%,4.0,16.0,2.15,2.4,3.38,0.75,53%,100%,0.0,13:20,33,38%,5,6%,48,56%,77,77%,16,16%,17,7%,2,17%,6,50%,4,33%,https://www.ufc.com/athlete/kanako-murata,Women's Strawweight,89.47368421052632,42.98245614035088,19.298245614035086,70.0,93.75,94.73684210526315,80.7017543859649,30.701754385964914
ELISE REED,8-5-0,2.0,,1.0,53%,333.0,626.0,60%,,5.0,3.41,3.26,0.46,0.0,52%,53%,0.15,10:50,279,84%,40,12%,14,4%,187,56%,77,23%,69,21%,2,25%,6,75%,0,0%,https://www.ufc.com/athlete/karlos-olberg-3,Women's Strawweight,79.82456140350878,37.719298245614034,47.368421052631575,77.0,25.0,28.07017543859649,22.807017543859647,73.68421052631578
KAROLINA KOWALKIEWICZ,16-9-0,1.0,3.0,3.0,43%,1322.0,3051.0,23%,1.0,22.0,5.54,5.51,0.31,0.19,58%,75%,0.0,13:15,1030,78%,252,19%,40,3%,828,63%,334,25%,160,12%,1,6%,12,75%,3,19%,https://www.ufc.com/athlete/karolina-kowalkiewicz,Women's Strawweight,48.24561403508772,64.91228070175438,85.96491228070175,26.0,65.625,24.561403508771928,56.14035087719298,30.701754385964914
KAROLINA WOJCIK,1-0-0,,,,66%,40.0,61.0,67%,,3.0,2.67,0.87,2.0,1.0,63%,100%,0.0,15:00,20,50%,9,23%,11,28%,55,55%,30,15%,30,30%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/karolina-wojcik,Women's Strawweight,100.0,92.98245614035088,22.807017543859647,87.0,93.75,67.54385964912281,91.22807017543859,30.701754385964914
