fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division
DUSTIN JOYNSON,0-0-0,null,null,null,54%,7,13,null,null,null,3.28,5.63,0.00,0.00,48%,null,0.00,02:08,5,71%,2,29%,0,0%,86,86%,14,14%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/dustin-joynson,Heavyweight
EDUARDO NEVES,0-2-0,null,null,null,66%,40,61,67%,null,3,7.69,6.15,5.77,0.00,56%,null,0.00,02:36,33,83%,3,8%,4,10%,75,75%,15,15%,10,10%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/eduardo-neves,Heavyweight
ELISHA ELLISON,5-2-0,4,1,5,33%,3,9,0%,null,2,1.57,15.13,0.00,0.00,41%,null,0.00,01:55,2,67%,1,33%,0,0%,67,67%,33,33%,80,0%,4,80%,0,0%,1,20%,https://www.ufc.com/athlete/elisha-ellison,Heavyweight
FRANK HOLLAND,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,https://www.ufc.com/athlete/frank-holland,Heavyweight
GREG REBELLO,24-8-0,null,null,null,39%,25,64,null,null,null,2.61,2.92,0.00,0.00,58%,null,0.00,04:48,24,96%,1,4%,0,0%,76,76%,20,4%,63,20%,15,63%,7,29%,2,8%,https://www.ufc.com/athlete/greg-rebello,Heavyweight
GREG VELASCO,0-1-0,null,null,null,null,null,null,null,null,null,0.00,1.52,0.00,0.00,null,null,0.00,02:38,0,0,0,0,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/greg-velasco,Heavyweight
GUILHERME PAT,0-0-0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,00:00,0,0,0,0,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/guilherme-pat,Heavyweight
HAMDY ABDELWAHAB,6-1-0,5,null,4,49%,157,320,67%,3,6,3.49,4.49,1.33,0.00,52%,100%,0.33,15:00,125,80%,2,1%,30,19%,110,70%,29,11%,100,18%,5,100%,0,0%,0,0%,https://www.ufc.com/athlete/hamdy-abdelwahab,Heavyweight
HENRIQUE DA SILVA LOPES,0-0-0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,00:00,0,0,0,0,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/henrique-da-silva-lopes,Heavyweight
JAILTON ALMEIDA,22-3-0,8,13,16,66%,179,273,60%,2,50,2.62,0.89,6.58,2.41,42%,60%,0.00,06:50,18,10%,7,4%,154,86%,164,92%,10,6%,36,3%,8,36%,1,5%,13,59%,https://www.ufc.com/athlete/jailton-almeida,Heavyweight
JAKE COLLIER,13-10-0,5,4,7,44%,862,1947,33%,3,21,5.80,5.08,0.71,0.61,51%,68%,0.30,10:36,738,86%,94,11%,30,3%,574,67%,169,20%,119,14%,5,38%,4,31%,4,31%,https://www.ufc.com/athlete/jake-collier,Heavyweight
JHONATA DINIZ,9-1-0,7,null,6,57%,231,406,null,null,null,4.58,3.71,0.00,0.00,60%,78%,0.89,10:05,217,94%,8,3%,6,3%,175,76%,43,6%,78,19%,7,78%,2,22%,0,0%,https://www.ufc.com/athlete/jhonata-diniz,Heavyweight
JON JONES,28-1-0,11,7,null,59%,1564,2655,46%,36,98,4.38,2.24,1.89,0.46,64%,95%,0.25,14:52,1012,65%,250,16%,302,19%,759,49%,430,24%,430,27%,11,39%,10,36%,7,25%,https://www.ufc.com/athlete/jon-jones,Heavyweight
