Year,S/T name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,0–4,5–9,10–14,Child_count
2024,Victoria,206,Melbourne - Inner,20604,Melbourne City,206041508,Southbank (West) - South Wharf,208,140,136,484
2024,Victoria,206,Melbourne - Inner,20604,Melbourne City,206041509,Southbank - East,427,291,206,924
2024,Victoria,206,Melbourne - Inner,20604,Melbourne City,206041510,West Melbourne - Residential,231,187,227,645
2024,Victoria,206,Melbourne - Inner,20605,Port Phillip,206051128,Albert Park,681,677,735,2093
2024,Victoria,206,Melbourne - Inner,20605,Port Phillip,206051129,Elwood,677,524,618,1819
2024,Victoria,206,Melbourne - Inner,20605,Port Phillip,206051130,Port Melbourne,738,783,737,2258
2024,Victoria,206,Melbourne - Inner,20605,Port Phillip,206051134,St Kilda East,755,612,575,1942
2024,Victoria,206,Melbourne - Inner,20605,Port Phillip,206051511,Port Melbourne Industrial,87,85,85,257
2024,Victoria,206,Melbourne - Inner,20605,Port Phillip,206051512,South Melbourne,457,410,430,1297
2024,Victoria,206,Melbourne - Inner,20605,Port Phillip,206051513,St Kilda - Central,379,283,234,896
2024,Victoria,206,Melbourne - Inner,20605,Port Phillip,206051514,St Kilda - West,356,303,345,1004
2024,Victoria,206,Melbourne - Inner,20606,Stonnington - West,206061135,Armadale,405,394,360,1159
2024,Victoria,206,Melbourne - Inner,20606,Stonnington - West,206061136,Prahran - Windsor,688,453,374,1515
2024,Victoria,206,Melbourne - Inner,20606,Stonnington - West,206061138,Toorak,427,463,567,1457
2024,Victoria,206,Melbourne - Inner,20606,Stonnington - West,206061515,South Yarra - North,279,158,189,626
2024,Victoria,206,Melbourne - Inner,20606,Stonnington - West,206061516,South Yarra - South,313,241,231,785
2024,Victoria,206,Melbourne - Inner,20607,Yarra,206071139,Abbotsford,399,218,188,805
2024,Victoria,206,Melbourne - Inner,20607,Yarra,206071140,Carlton North - Princes Hill,330,248,258,836
2024,Victoria,206,Melbourne - Inner,20607,Yarra,206071141,Collingwood,501,406,345,1252
2024,Victoria,206,Melbourne - Inner,20607,Yarra,206071142,Fitzroy,464,364,318,1146
2024,Victoria,206,Melbourne - Inner,20607,Yarra,206071143,Fitzroy North,471,488,535,1494
2024,Victoria,206,Melbourne - Inner,20607,Yarra,206071145,Clifton Hill - Alphington,547,590,504,1641
2024,Victoria,206,Melbourne - Inner,20607,Yarra,206071517,Richmond (South) - Cremorne,716,507,550,1773
