fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division
HERDEM ALACABEK,0-0-0,null,null,null,66%,56,85,50%,null,4,3.84,6.66,2.06,0.00,23%,43%,0.00,14:34,24,43%,26,46%,6,11%,45,45%,41,41%,14,14%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/herdem-alacabek,Light Heavyweight
IBO ASLAN,14-3-0,14,null,12,47%,166,353,null,null,null,5.09,3.47,0.00,0.00,60%,87%,0.92,06:31,149,90%,11,7%,6,4%,124,75%,27,9%,100,16%,14,100%,0,0%,0,0%,https://www.ufc.com/athlete/ibo-aslan,Light Heavyweight
ION CUTELABA,19-11-1,13,3,15,43%,661,1523,49%,6,79,4.26,3.34,3.77,0.10,47%,75%,0.19,08:10,392,59%,135,20%,134,20%,466,70%,117,18%,78,12%,13,68%,3,16%,3,16%,https://www.ufc.com/athlete/ion-cutelaba,Light Heavyweight
IVAN ERSLAN,14-6-0,10,1,11,46%,85,183,20%,1,5,2.55,5.01,0.45,0.00,54%,62%,0.00,11:06,79,93%,5,6%,1,1%,78,78%,16,16%,71,6%,10,71%,3,21%,1,7%,https://www.ufc.com/athlete/ivan-erslan,Light Heavyweight
IWO BARANIEWSKI,1-0-0,null,null,null,67%,4,6,null,null,null,12.00,6.00,0.00,0.00,33%,null,45.00,00:20,1,25%,0,0%,3,75%,100,100%,0,0%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/iwo-baraniewski,Light Heavyweight
JAMAHAL HILL,12-4-0,7,null,4,52%,770,1486,null,null,null,6.19,4.03,0.00,0.00,45%,73%,0.48,10:22,629,82%,84,11%,57,7%,510,66%,187,24%,73,9%,7,58%,5,42%,0,0%,https://www.ufc.com/athlete/jamahal-hill,Light Heavyweight
JAMELLE JONES,7-5-0,null,null,null,80%,4,5,0%,null,1,1.78,3.11,0.00,0.00,65%,null,0.00,02:15,4,100%,0,0%,0,0%,0,0%,100,0%,100,100%,5,71%,1,14%,1,14%,https://www.ufc.com/athlete/jamelle-jones,Light Heavyweight
JAN BŁACHOWICZ,29-11-1,9,9,7,50%,953,1914,49%,12,39,3.44,3.03,1.03,0.33,53%,69%,0.33,13:11,738,77%,105,11%,110,12%,582,61%,202,21%,169,18%,9,31%,11,38%,9,31%,https://www.ufc.com/athlete/jan-blachowicz,Light Heavyweight
JESSE MARIOTTI,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,https://www.ufc.com/athlete/jesse-mariotti,Light Heavyweight
JIMMY CRUTE,14-4-2,5,6,10,53%,340,642,52%,1,46,4.15,3.65,4.39,2.01,42%,58%,0.73,06:18,235,69%,42,12%,63,19%,240,71%,51,15%,49,14%,5,36%,3,21%,6,43%,https://www.ufc.com/athlete/jim-crute,Light Heavyweight
JIŘÍ PROCHÁZKA,32-5-1,28,3,23,55%,504,913,60%,1,5,5.69,5.60,0.51,0.17,46%,68%,0.85,11:04,388,77%,39,8%,77,15%,391,78%,80,16%,88,7%,28,88%,1,3%,3,9%,https://www.ufc.com/athlete/jiri-prochazka,Light Heavyweight
JOHNNY WALKER,22-9-0,17,3,17,55%,440,797,60%,null,5,4.06,3.09,0.42,0.83,45%,57%,0.69,06:47,290,66%,39,9%,111,25%,243,55%,153,10%,153,35%,17,77%,2,9%,3,14%,https://www.ufc.com/athlete/johnny-walker,Light Heavyweight
