fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division
SIM KAI XIONG,1-2-0,null,null,null,43%,98,230,25%,null,32,2.85,3.64,3.49,0.00,55%,100%,0.00,11:28,87,89%,11,11%,0,0%,57,57%,27,16%,27,27%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/sim-kai-xiong,Flyweight
STEWART NICOLL,8-1-0,4,3,5,47%,8,17,100%,1,1,3.02,1.13,5.66,0.00,40%,null,0.00,02:39,2,25%,0,0%,6,75%,50,50%,25,25%,50,25%,4,50%,1,13%,3,38%,https://www.ufc.com/athlete/stewart-nicoll,Flyweight
SUMUDAERJI,18-7-0,13,null,11,52%,431,827,11%,null,9,4.48,2.39,0.16,0.62,61%,71%,0.31,10:42,346,80%,35,8%,50,12%,260,60%,110,14%,110,26%,13,72%,4,22%,1,6%,https://www.ufc.com/athlete/su-mudaerji,Flyweight
SUMIT KUMAR,0-1-0,null,null,null,24%,42,175,30%,null,20,2.80,4.67,6.00,0.00,47%,60%,0.00,15:00,35,83%,6,14%,1,2%,62,62%,19,19%,19,19%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/sumit-kumar,Flyweight
TAGIR ULANBEKOV,17-2-0,1,7,3,49%,292,591,39%,11,44,3.37,3.36,2.94,1.56,52%,62%,0.17,12:22,219,75%,42,14%,31,11%,238,82%,39,13%,15,5%,1,6%,9,53%,7,41%,https://www.ufc.com/athlete/tagir-ulanbekov,Flyweight
TATSURO TAIRA,17-1-0,5,8,8,60%,254,421,49%,1,39,2.87,2.54,3.21,1.69,47%,45%,0.51,11:05,133,52%,8,3%,113,44%,195,77%,39,8%,39,15%,5,29%,4,24%,8,47%,https://www.ufc.com/athlete/tatsuro-taira,Flyweight
TERRANCE SAETEURN,8-2-0,3,2,3,41%,11,27,0%,null,1,3.82,3.82,0.00,0.00,52%,null,0.00,02:53,9,82%,2,18%,0,0%,45,18%,45,45%,38,36%,3,38%,3,38%,2,25%,https://www.ufc.com/athlete/terrance-saeteurn,Flyweight
TIM ELLIOTT,22-13-1,3,8,6,45%,858,1921,48%,36,132,3.37,2.65,3.71,1.12,58%,59%,0.12,12:08,540,63%,152,18%,166,19%,504,59%,180,20%,180,21%,3,14%,11,50%,8,36%,https://www.ufc.com/athlete/tim-elliott,Flyweight
TOP NOI KIWRAM,1-2-0,null,null,null,60%,148,247,86%,null,7,4.47,3.23,2.72,0.00,66%,74%,0.91,11:02,115,78%,25,17%,8,5%,97,66%,39,26%,12,8%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/top-kiwram,Flyweight
VICTOR DIAS,0-1-0,null,null,null,45%,43,96,42%,null,12,2.87,5.80,5.00,0.00,55%,null,0.00,15:00,33,77%,0,0%,10,23%,51,51%,28,28%,50,21%,5,50%,3,30%,2,20%,https://www.ufc.com/athlete/victor-dias,Flyweight
