fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division
JOHN MAKDESSI,18-9-0,9,null,5,50%,1340,2690,0%,null,4,5.52,4.15,0.00,0.00,68%,86%,0.37,12:08,1249,93%,64,5%,27,2%,678,51%,337,24%,337,25%,9,50%,9,50%,0,0%,https://www.ufc.com/athlete/john-makdessi,Lightweight
JORDAN LEAVITT,12-3-0,2,7,6,61%,141,230,31%,4,36,2.49,1.79,2.92,1.33,57%,30%,0.27,06:17,115,82%,16,11%,10,7%,36,23%,73,26%,73,52%,2,17%,3,25%,7,58%,https://www.ufc.com/athlete/jordan-leavitt,Lightweight
JOSEPH LOWRY,7-2-0,null,null,null,35%,71,203,0%,null,2,3.97,4.25,0.00,0.00,63%,null,0.00,08:56,67,94%,4,6%,0,0%,59,59%,31,31%,10,10%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/joseph-lowry,Lightweight
JOSH WICK,0-1-0,null,null,null,60%,3,5,null,null,null,0.65,6.52,0.00,0.00,41%,80%,0.00,04:36,3,100%,0,0%,0,0%,33,0%,67,33%,67,67%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/josh-wick,Lightweight
JUSTIN GAETHJE,27-5-0,20,null,9,59%,1036,1762,14%,null,7,6.59,7.18,0.10,0.00,52%,68%,0.67,11:14,890,86%,127,12%,19,2%,642,62%,278,11%,278,27%,20,74%,6,22%,1,4%,https://www.ufc.com/athlete/justin-gaethje,Lightweight
KAMUELA KIRK,12-6-0,5,6,9,50%,161,319,26%,null,19,3.22,5.87,1.50,1.20,40%,47%,0.00,12:31,126,78%,18,11%,17,11%,101,63%,34,21%,42,16%,5,42%,1,8%,6,50%,https://www.ufc.com/athlete/kamuela-kirk,Lightweight
RONGZHU,27-6-0,15,6,12,51%,667,1301,63%,10,16,6.02,5.44,1.35,0.14,53%,84%,0.54,12:19,577,87%,30,4%,60,9%,492,74%,103,15%,72,11%,15,56%,6,22%,6,22%,https://www.ufc.com/athlete/karlos-olberg-1,Lightweight
KAUÊ FERNANDES,11-2-0,6,2,7,50%,4,8,null,null,null,0.41,5.70,0.00,0.00,29%,null,0.00,04:50,3,75%,0,0%,1,25%,50,50%,25,25%,55,25%,6,55%,3,27%,2,18%,https://www.ufc.com/athlete/kaue-fernandes,Lightweight
KAZUMA MARUYAMA,0-1-0,null,null,null,41%,12,29,33%,null,3,3.83,2.23,4.79,0.00,53%,100%,0.00,03:08,7,58%,2,17%,3,25%,33,33%,33,33%,33,33%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/kazuma-maruyama,Lightweight
KEVIN SYLER,10-1-0,null,null,null,69%,168,242,40%,null,5,5.60,4.03,1.00,2.00,48%,78%,0.00,15:00,136,81%,4,2%,28,17%,142,85%,23,14%,3,2%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/kevin-syler,Lightweight
KODY STEELE,7-1-0,4,1,1,33%,107,327,14%,1,7,4.44,7.17,0.62,0.00,52%,100%,0.62,12:04,104,97%,2,2%,1,1%,79,74%,24,22%,57,4%,4,57%,2,29%,1,14%,https://www.ufc.com/athlete/kody-steele,Lightweight
CHRIS GRUETZEMACHER,15-5-0,7,3,null,57%,451,790,50%,null,2,6.18,4.96,0.21,0.00,53%,66%,0.00,09:45,309,69%,113,25%,29,6%,233,52%,129,29%,89,20%,7,47%,5,33%,3,20%,https://www.ufc.com/athlete/kurisu-kuretsutsuemaka,Lightweight
KURT HOLOBAUGH,22-10-0,8,10,11,45%,531,1181,33%,2,15,4.58,4.24,0.65,0.78,50%,38%,0.26,10:32,407,77%,98,18%,26,5%,329,62%,130,24%,72,14%,8,36%,4,18%,10,45%,https://www.ufc.com/athlete/kurt-holobaugh,Lightweight
KYLE NELSON,16-6-1,6,4,8,46%,349,764,21%,2,34,3.51,4.72,1.06,0.60,52%,73%,0.00,09:56,299,86%,47,13%,3,1%,190,54%,94,27%,65,19%,6,38%,6,38%,4,25%,https://www.ufc.com/athlete/kyle-nelson,Lightweight
KYLE PREPOLEC,18-9-0,10,4,7,36%,108,302,0%,null,4,2.87,5.19,0.00,0.00,49%,40%,0.00,12:32,103,95%,5,5%,0,0%,61,56%,32,30%,56,14%,10,56%,4,22%,4,22%,https://www.ufc.com/athlete/kyle-prepolec,Lightweight
LANDO VANNATA,12-7-2,4,5,9,45%,684,1510,38%,6,29,4.52,4.76,1.09,0.30,55%,69%,0.50,11:39,597,87%,53,8%,34,5%,342,50%,174,25%,168,25%,4,33%,3,25%,5,42%,https://www.ufc.com/athlete/lando-vannata,Lightweight
LOIK RADZHABOV,18-6-1,8,5,7,44%,140,315,58%,11,26,2.89,3.76,4.65,0.00,46%,43%,0.31,12:06,97,69%,4,3%,39,28%,120,86%,17,12%,44,2%,8,44%,5,28%,5,28%,https://www.ufc.com/athlete/loik-radzhabov,Lightweight
CHRIS DUNCAN,14-2-0,7,3,5,44%,307,692,42%,5,33,4.64,4.53,3.17,0.45,52%,50%,0.45,08:17,272,89%,16,5%,19,6%,181,59%,75,24%,51,17%,7,50%,4,29%,3,21%,https://www.ufc.com/athlete/lyudovit-klayn-4,Lightweight
MIKE DAVIS,12-3-0,8,2,4,null,null,null,null,null,null,null,null,null,null,null,null,null,00:00,0,0,0,0,0,0,0,0%,0,0%,67,0%,8,67%,2,17%,2,17%,https://www.ufc.com/athlete/maiku-teihisu,Lightweight
MAIRON SANTOS,17-1-0,8,null,4,46%,129,279,0%,null,1,3.53,2.38,0.00,0.00,66%,50%,0.41,12:10,119,92%,7,5%,3,2%,66,51%,33,26%,47,23%,8,47%,9,53%,0,0%,https://www.ufc.com/athlete/mairon-santos-alves,Lightweight
MALIK LEWIS,0-2-0,null,null,null,45%,94,208,40%,null,15,4.16,5.66,3.98,0.00,40%,50%,0.00,11:19,55,59%,35,37%,4,4%,65,65%,31,31%,4,4%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/malik-lewis,Lightweight
MANDEL NALLO,1-0-0,null,null,null,63%,30,48,null,null,null,8.61,2.58,0.00,0.00,73%,100%,4.31,03:29,26,87%,0,0%,4,13%,60,60%,40,0%,40,40%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/mandel-nallo,Lightweight
MANOEL SOUSA,1-0-0,null,null,null,58%,42,72,0%,null,1,3.23,1.31,0.00,2.31,55%,63%,0.00,13:00,25,60%,4,10%,13,31%,69,69%,24,24%,7,7%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/manoel-sousa,Lightweight
MARC DIAKIESE,17-7-0,6,1,6,40%,463,1146,44%,9,91,2.54,2.64,3.29,0.00,53%,67%,0.16,12:08,385,83%,46,10%,32,7%,212,46%,134,29%,117,25%,6,38%,9,56%,1,6%,https://www.ufc.com/athlete/marc-diakiese,Lightweight
BENOÎT SAINT DENIS,15-3-0,4,11,7,55%,383,693,38%,2,58,5.05,4.19,4.35,1.58,43%,71%,0.79,07:35,224,58%,75,20%,84,22%,217,57%,114,30%,52,14%,4,27%,0,0%,11,73%,https://www.ufc.com/athlete/mariya-agapova-0,Lightweight
MARK CHOINSKI,8-1-0,null,5,5,51%,58,114,18%,2,11,3.87,7.33,2.00,0.00,33%,null,0.00,15:00,54,93%,2,3%,2,3%,83,83%,12,12%,5,5%,0,0%,3,38%,5,63%,https://www.ufc.com/athlete/mark-choinski,Lightweight
MARQUEL MEDEROS,11-1-0,6,null,3,57%,238,419,0%,null,6,4.84,2.99,0.00,0.00,58%,84%,0.61,12:17,203,85%,21,9%,14,6%,126,53%,68,18%,68,29%,6,55%,5,45%,0,0%,https://www.ufc.com/athlete/marquel-mederos,Lightweight
MASON JONES,17-2-0,8,3,5,42%,431,1027,55%,11,38,5.71,4.47,4.17,0.20,51%,81%,0.20,12:35,302,70%,58,13%,71,16%,298,69%,95,22%,47,9%,8,47%,6,35%,3,18%,https://www.ufc.com/athlete/mason-jones,Lightweight
MATEUSZ GAMROT,25-3-0,8,5,3,52%,462,890,37%,12,133,3.35,3.04,5.33,0.11,59%,91%,0.11,12:32,353,76%,32,7%,77,17%,351,76%,63,14%,48,10%,8,32%,12,48%,5,20%,https://www.ufc.com/athlete/mateusz-gamrot,Lightweight
MATEUSZ RĘBECKI,20-3-0,9,7,10,47%,390,834,65%,3,26,5.29,4.53,3.46,0.61,56%,50%,0.81,10:31,324,83%,19,5%,47,12%,258,66%,67,17%,65,17%,9,45%,4,20%,7,35%,https://www.ufc.com/athlete/mateusz-rebecki,Lightweight
MATHEUS CAMILO,9-3-0,4,2,null,48%,13,27,67%,2,3,1.49,1.38,3.44,1.72,56%,null,0.00,08:43,12,92%,0,0%,1,8%,46,46%,31,31%,44,23%,4,44%,3,33%,2,22%,https://www.ufc.com/athlete/matheus-camilo,Lightweight
MATT FREVOLA,11-5-1,4,3,6,41%,317,774,39%,null,38,3.37,3.69,2.39,0.96,57%,36%,1.12,07:50,207,65%,38,12%,72,23%,214,68%,63,20%,40,13%,4,36%,4,36%,3,27%,https://www.ufc.com/athlete/matt-frevola,Lightweight
