fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division
MARVIN VETTORI,19-9-1,2,9,11,46%,1376,3005,45%,7,62,4.68,4.52,1.43,0.41,56%,66%,0.05,17:17,1191,87%,83,6%,102,7%,1066,77%,165,11%,165,12%,2,11%,7,39%,9,50%,https://www.ufc.com/athlete/marvin-vettori,Middleweight
MATĚJ PEŇÁZ,0-1-0,null,null,null,33%,1,3,null,null,null,1.28,2.55,0.00,0.00,33%,null,0.00,00:47,1,100%,0,0%,0,0%,100,100%,0,0%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/matej-penaz,Middleweight
MICHAEL PAGE,24-3-0,13,3,13,60%,154,256,17%,null,6,2.39,1.68,0.23,0.00,57%,67%,0.23,10:44,129,84%,10,6%,15,10%,102,66%,33,21%,54,12%,13,54%,8,33%,3,13%,https://www.ufc.com/athlete/michael-page,Middleweight
MICHAL OLEKSIEJCZUK,21-9-0,16,1,13,51%,549,1075,44%,2,16,5.34,4.41,1.02,0.00,60%,53%,1.31,06:03,422,77%,24,4%,103,19%,370,67%,156,28%,76,4%,16,76%,4,19%,1,5%,https://www.ufc.com/athlete/michal-oleksiejczuk,Middleweight
MICHEL PEREIRA,31-14-0,11,9,14,52%,654,1249,52%,null,21,4.49,4.35,1.13,0.72,52%,76%,0.31,10:24,557,85%,73,11%,24,4%,302,46%,279,43%,73,11%,11,35%,11,35%,9,29%,https://www.ufc.com/athlete/michel-pereira,Middleweight
MONTREL TALBERT,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,https://www.ufc.com/athlete/montrel-talbert,Middleweight
NASSOURDINE IMAVOV,17-4-0,7,4,7,55%,784,1426,32%,2,28,4.28,3.17,0.74,0.98,59%,81%,0.16,15:16,573,73%,119,15%,92,12%,534,68%,155,20%,95,12%,7,41%,6,35%,4,24%,https://www.ufc.com/athlete/nassourdine-imavov,Middleweight
NICK DIAZ,26-11-0,13,8,null,42%,1876,4415,33%,14,85,5.71,3.84,1.28,1.00,60%,60%,0.41,11:19,1424,76%,353,19%,99,5%,1380,74%,357,19%,139,7%,13,50%,5,19%,8,31%,https://www.ufc.com/athlete/nick-diaz,Middleweight
NICK KLEIN,6-3-0,2,3,4,57%,39,69,35%,1,17,2.51,3.41,5.79,1.93,40%,67%,0.00,05:11,30,77%,9,23%,0,0%,26,26%,54,21%,54,54%,2,33%,1,17%,3,50%,https://www.ufc.com/athlete/nick-klein,Middleweight
NURSULTON RUZIBOEV,36-9-2,13,20,25,47%,104,223,67%,1,3,2.59,2.89,0.75,0.00,49%,33%,1.12,08:02,74,71%,8,8%,22,21%,72,69%,26,25%,36,6%,13,36%,3,8%,20,56%,https://www.ufc.com/athlete/nursulton-ruziboev,Middleweight
OZZY DIAZ,10-3-0,7,2,6,50%,155,307,0%,null,1,6.44,7.23,0.00,0.00,59%,50%,0.00,08:01,150,97%,5,3%,0,0%,131,85%,16,10%,78,5%,7,78%,0,0%,2,22%,https://www.ufc.com/athlete/ozzy-diaz,Middleweight
PAULO COSTA,15-4-0,11,1,9,59%,879,1496,50%,null,6,6.26,6.20,0.32,0.00,49%,80%,0.53,12:46,782,89%,43,5%,54,6%,395,45%,363,41%,121,14%,11,73%,3,20%,1,7%,https://www.ufc.com/athlete/paulo-costa,Middleweight
PHIL HAWES,12-6-0,8,2,7,59%,341,576,35%,6,26,5.33,3.72,2.11,0.23,56%,91%,0.70,06:24,253,74%,45,13%,43,13%,218,64%,86,25%,67,11%,8,67%,2,17%,2,17%,https://www.ufc.com/athlete/phillip-hawes,Middleweight
REINIER DE RIDDER,21-2-0,5,13,11,53%,139,264,27%,5,33,2.95,2.44,2.86,0.64,50%,67%,0.64,11:47,95,68%,27,19%,17,12%,80,58%,50,36%,24,6%,5,24%,3,14%,13,62%,https://www.ufc.com/athlete/reinier-de-ridder,Middleweight
ROBERT BRYCZEK,18-6-0,12,1,10,37%,100,271,100%,null,1,3.74,4.08,0.56,0.00,60%,86%,0.56,13:22,73,73%,11,11%,16,16%,66,66%,26,26%,67,8%,12,67%,5,28%,1,6%,https://www.ufc.com/athlete/robert-bryczek,Middleweight
ROBERT VALENTIN,11-6-0,3,7,7,57%,26,46,0%,null,1,1.13,2.83,0.00,1.31,33%,55%,0.00,07:40,8,31%,12,46%,6,23%,77,77%,15,15%,27,8%,3,27%,1,9%,7,64%,https://www.ufc.com/athlete/robert-valentin-frey,Middleweight
ROBERT WHITTAKER,27-9-0,11,5,7,43%,1435,3321,38%,4,42,4.39,3.36,0.73,0.00,60%,82%,0.55,13:37,1237,86%,97,7%,101,7%,1015,71%,267,11%,267,19%,11,41%,11,41%,5,19%,https://www.ufc.com/athlete/robert-whittaker,Middleweight
RODOLFO VIEIRA,11-3-0,1,9,6,56%,330,592,23%,3,78,3.77,4.12,3.09,1.03,52%,100%,0.00,09:43,291,88%,15,5%,24,7%,230,70%,61,12%,61,18%,1,9%,1,9%,9,82%,https://www.ufc.com/athlete/rodolfo-vieira,Middleweight
ROMAN DOLIDZE,15-4-0,8,3,8,42%,568,1355,39%,9,28,3.41,3.72,0.99,0.81,49%,26%,0.36,12:48,459,81%,34,6%,75,13%,358,63%,126,15%,126,22%,8,53%,4,27%,3,20%,https://www.ufc.com/athlete/roman-dolidze,Middleweight
ROMAN KOPYLOV,14-4-0,12,null,1,50%,555,1103,42%,null,19,4.74,5.08,1.02,0.00,53%,88%,0.77,11:43,517,93%,21,4%,17,3%,360,65%,107,19%,88,16%,12,86%,2,14%,0,0%,https://www.ufc.com/athlete/roman-kopylov,Middleweight
RYAN GANDRA,1-0-0,null,null,null,52%,32,62,null,null,null,11.23,2.11,0.00,0.00,79%,100%,5.26,02:51,25,78%,7,22%,0,0%,81,81%,13,13%,6,6%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/ryan-gandra,Middleweight
RYAN LODER,8-2-0,5,null,null,71%,55,77,14%,1,7,5.76,2.51,1.57,1.57,50%,100%,0.00,04:47,7,13%,7,13%,41,75%,85,85%,15,15%,63,0%,5,63%,3,38%,0,0%,https://www.ufc.com/athlete/ryan-loder,Middleweight
SEAN STRICKLAND,29-7-0,11,4,9,43%,2197,5164,64%,11,28,5.95,4.57,0.73,0.16,61%,76%,0.24,16:03,2019,92%,75,3%,103,5%,1752,80%,329,15%,116,5%,11,38%,14,48%,4,14%,https://www.ufc.com/athlete/sean-strickland,Middleweight
SHARA MAGOMEDOV,16-1-0,12,null,7,63%,488,775,0%,null,1,5.93,3.85,0.00,0.00,44%,71%,0.36,13:43,387,79%,72,15%,29,6%,210,43%,150,31%,128,26%,12,75%,4,25%,0,0%,https://www.ufc.com/athlete/shara-magomedov,Middleweight
STEVE REGMAN,9-3-0,null,null,null,60%,12,20,100%,null,2,1.41,4.93,3.52,0.00,24%,null,0.00,08:31,10,83%,1,8%,1,8%,58,58%,33,8%,33,33%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/steve-regman,Middleweight
TORREZ FINNEY,11-0-0,7,2,5,69%,74,108,60%,8,43,1.77,1.74,9.31,1.07,48%,null,0.00,10:28,19,26%,4,5%,51,69%,97,97%,3,3%,64,0%,7,64%,2,18%,2,18%,https://www.ufc.com/athlete/torrez-finney,Middleweight
TRESEAN GORE,6-4-0,2,3,3,43%,136,317,75%,2,8,2.76,7.48,1.83,0.91,41%,88%,0.00,08:13,118,87%,14,10%,4,3%,72,53%,39,18%,39,29%,2,33%,1,17%,3,50%,https://www.ufc.com/athlete/tresean-gore,Middleweight
TRE’STON VINES,10-4-0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,00:00,0,0,0,0,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/treston-vines,Middleweight
JANSEY SILVA,0-1-0,null,null,null,40%,2,5,null,null,null,0.46,2.32,0.00,0.00,33%,null,0.00,04:19,1,50%,0,0%,1,50%,50,50%,50,0%,50,50%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/trevin-dzhayls-3,Middleweight
ANDRE PETROSKI,13-6-0,4,4,4,49%,362,735,52%,8,52,2.81,2.79,3.15,1.28,53%,86%,0.12,10:43,271,75%,9,2%,82,23%,235,65%,73,20%,54,15%,4,31%,5,38%,4,31%,https://www.ufc.com/athlete/viven-araudzho,Middleweight
YOUSRI BELGAROUI,1-1-0,null,null,null,61%,122,201,null,null,null,4.43,2.65,0.00,0.00,58%,82%,0.54,13:47,99,81%,23,19%,0,0%,67,55%,36,30%,19,16%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/yousri-belgaroui,Middleweight
ZACH BORREGO,0-1-0,null,null,null,null,null,null,null,null,null,0.00,1.94,0.00,0.00,33%,null,0.00,01:02,0,0,0,0,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/zach-borrego,Middleweight
ZACHARY REESE,9-2-0,5,2,7,54%,158,295,58%,null,12,4.24,3.00,2.82,1.21,45%,58%,0.40,05:20,114,72%,11,7%,33,21%,85,54%,47,30%,56,16%,5,56%,2,22%,2,22%,https://www.ufc.com/athlete/zachary-reese,Middleweight
