S/T name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,0–4,5–9,10–14,Total persons,Child_count ,child_density_per_100
Victoria,207,Melbourne - Inner East,20703,Whitehorse - West,207031161,Blackburn,1005,1195,1441,23471,3641,15.5128
Victoria,207,Melbourne - Inner East,20703,Whitehorse - West,207031162,Blackburn South,454,671,757,11079,1882,16.9871
Victoria,207,Melbourne - Inner East,20703,Whitehorse - West,207031163,Box Hill,891,990,1186,26668,3067,11.5007
Victoria,207,Melbourne - Inner East,20703,Whitehorse - West,207031164,Box Hill North,866,982,1141,19435,2989,15.3795
Victoria,207,Melbourne - Inner East,20703,Whitehorse - West,207031165,Burwood (Vic.),482,448,517,14918,1447,9.6997
Victoria,207,Melbourne - Inner East,20703,Whitehorse - West,207031166,Burwood East,466,619,551,12366,1636,13.2298
Victoria,207,Melbourne - Inner East,20703,Whitehorse - West,207031167,Surrey Hills (East) - Mont Albert,414,558,631,10765,1603,14.8908
Victoria,208,Melbourne - Inner South,20801,Bayside,208011168,Beaumaris,458,800,1147,14422,2405,16.6759
Victoria,208,Melbourne - Inner South,20801,Bayside,208011169,Brighton (Vic.),866,1191,1463,24107,3520,14.6016
Victoria,208,Melbourne - Inner South,20801,Bayside,208011170,Brighton East,692,1003,1315,17261,3010,17.4382
Victoria,208,Melbourne - Inner South,20801,Bayside,208011171,Highett (West) - Cheltenham,795,855,843,13098,2493,19.0334
Victoria,208,Melbourne - Inner South,20801,Bayside,208011172,Hampton,843,1076,1277,19208,3196,16.6389
Victoria,208,Melbourne - Inner South,20801,Bayside,208011173,Sandringham - Black Rock,630,905,1109,18022,2644,14.6710
Victoria,208,Melbourne - Inner South,20802,Glen Eira,208021174,Bentleigh - McKinnon,1177,1567,1972,26825,4716,17.5806
Victoria,208,Melbourne - Inner South,20802,Glen Eira,208021176,Carnegie,905,866,780,20903,2551,12.2040
Victoria,208,Melbourne - Inner South,20802,Glen Eira,208021177,Caulfield - North,1231,1341,1383,24485,3955,16.1527
Victoria,208,Melbourne - Inner South,20802,Glen Eira,208021178,Caulfield - South,944,1074,1130,18975,3148,16.5903
Victoria,208,Melbourne - Inner South,20802,Glen Eira,208021179,Elsternwick,678,665,729,12765,2072,16.2319
Victoria,208,Melbourne - Inner South,20802,Glen Eira,208021180,Hughesdale,390,340,411,8088,1141,14.1073
Victoria,208,Melbourne - Inner South,20802,Glen Eira,208021181,Murrumbeena,468,543,554,10045,1565,15.5799
Victoria,208,Melbourne - Inner South,20802,Glen Eira,208021182,Ormond - Glen Huntly,661,640,736,14736,2037,13.8233
Victoria,208,Melbourne - Inner South,20802,Glen Eira,208021426,Bentleigh East - North,826,1242,1421,17553,3489,19.8769
Victoria,208,Melbourne - Inner South,20802,Glen Eira,208021427,Bentleigh East - South,871,910,974,14770,2755,18.6527
Victoria,208,Melbourne - Inner South,20803,Kingston,208031183,Aspendale Gardens - Waterways,343,531,609,9099,1483,16.2985
Victoria,208,Melbourne - Inner South,20803,Kingston,208031184,Braeside,0,0,0,28,0,0.0000
Victoria,208,Melbourne - Inner South,20803,Kingston,208031185,Carrum - Patterson Lakes,675,687,624,12445,1986,15.9582
Victoria,208,Melbourne - Inner South,20803,Kingston,208031186,Chelsea - Bonbeach,967,933,818,15882,2718,17.1137
Victoria,208,Melbourne - Inner South,20803,Kingston,208031187,Chelsea Heights,328,386,334,5456,1048,19.2082
Victoria,208,Melbourne - Inner South,20803,Kingston,208031188,Highett (East) - Cheltenham,1545,1467,1400,25866,4412,17.0571
Victoria,208,Melbourne - Inner South,20803,Kingston,208031189,Edithvale - Aspendale,816,894,937,14151,2647,18.7054
Victoria,208,Melbourne - Inner South,20803,Kingston,208031190,Mentone,699,766,793,13987,2258,16.1436
Victoria,208,Melbourne - Inner South,20803,Kingston,208031191,Moorabbin - Heatherton,559,622,649,9708,1830,18.8504
Victoria,208,Melbourne - Inner South,20803,Kingston,208031192,Moorabbin Airport,0,0,0,26,0,0.0000
Victoria,208,Melbourne - Inner South,20803,Kingston,208031193,Mordialloc - Parkdale,1093,1182,1459,22229,3734,16.7979
Victoria,208,Melbourne - Inner South,20804,Stonnington - East,208041194,Malvern - Glen Iris,784,950,1131,21680,2865,13.2149
Victoria,208,Melbourne - Inner South,20804,Stonnington - East,208041195,Malvern East,970,1189,1287,23738,3446,14.5168
Victoria,209,Melbourne - North East,20901,Banyule,209011196,Bundoora - East,531,526,487,10240,1544,15.0781
Victoria,209,Melbourne - North East,20901,Banyule,209011197,Greensborough,1246,1340,1352,21338,3938,18.4553
Victoria,209,Melbourne - North East,20901,Banyule,209011198,Heidelberg - Rosanna,865,970,1071,16915,2906,17.1800
